#ID,Product Name
15D91B75,X12DAi-N
15D91B74,H12SSW-iNR/NTR
15D91B73,AOC-A25G-b2S
15D91B72,Mellanox 25G (MT27712A0-FDCF-AE)
15D91B71,B12DPT
15D91B6F,X12DPFR
15D91B6E,X12SCZ
15D91B6D,X12SAE-M/X12SCA-MF
15D91B6C,X12SAE/X12SCA-F
15D91B6B,AOC-SMG4-2M2-F
15D91B6A,X12DPT-B
15D91B69,AOC-SLG4-4E4T
15D91B68,AOC-SLG4-2E4T
15D91B67,SAS 3916
15D91B66,SAS 3908
15D91B65,SAS 3816
15D91B64,SAS 3808
15D91B63,SAS 3408
15D91B62,X12SPW
15D91B61,X12DPG-QT
15D91B5F,AOC-SLG3-2M2
15D91B5E,AOC-SMG3-2H8M2
15D91B5D,AOC-SMG3-2H8M2-B
15D91B5C,AOC-SHG3-4M2P
15D91B5B,X12SPO-NTF-F 
15D91B5A,X12QCH+
15D91B59,AOC-UR-I4xtf
15D91B58,X12DDW-A
15D91B57,X12SPA-TF
15D91B56,C9Z490-PG(W)
15D91B55,H12DSG-O-CPU
15D91B54,H12DSU-IN
15D91B53,X11DPFF-SNR 
15D91B52,X11QPL
15D91B51,AOC-S100GC-i2C
15D91B4F,X11DPD-L/M25
15D91B4E,AOC-SLG3-4E4T
15D91B4D,X11SWN
15D91B4C,X11SRi-IF
15D91B4B,X12DPU
15D91B4A,X12SPi-TF 
15D91B49,A3SSV
15D91B48,B2SD2 
15D91B47,X12DPi
15D91B46,X11DPT-BR
15D91B45,H12SST-PS
15D91B44,X11DPU-R
15D91B43,AOC-AG-i4S
15D91B42,X11DPU-S
15D91B41,X11SRL-F
15D91B3F,X11SPD-F
15D91B3E,AOC-S100G-b2C
15D91B3D,B11SCG-CTF
15D91B3C,AOM-SDW-B16X2
15D91B3B,X11SDS-8C
15D91B3A,H12DST-B
15D91B39,B11SCG-ZTF
15D91B38,X11DPT-BV
15D91B37,X11DPU-V
15D91B36,X11SCD-F
15D91B35,X11SDW
15D91B34,X11SPA-T
15D91B33,B11SRE
15D91B32,B11SRE-CPU
15D91B31,AOC-M25G-m2S
15D91B2F,AOM-SMF-TP4F
15D91B2E,AOC-MG-b2
15D91B2D,M11SDV
15D91B2C,H12SSW-NT
15D91B2B,H12SSW-iN
15D91B2A,AOC-2MG-i8
15D91B29,B2SC1
15D91B28,X11SPA-TF
15D91B27,AOC-S100G-b1C
15D91B26,AOC-2UR68-b2TS
15D91B25,X11DPU-ZE+
15D91B24,BPN-6S3008S6-MV2-NI22
15D91B23,RSC-UM2R-8+-NI22
15D91B22,AOC-SMG2-2TM2
15D91B21,AOC-SLG2-4TM2
15D91B20,AOC-SLG2-2TM2
15D91B1F,X11DPG-HGX2
15D91B1E,AOC-URN4-B2ts
15D91B1D,X11DPT-L
15D91B1C,X11SDD
15D91B1B,AOC-CTG-i2S
15D91B1A,C9Z390-CG(W)
15D91B19,H11SSW-NT/iN
15D91B18,C7B360-CB-ML
15D91B17,X11DPFF-SN
15D91B16,AOM-PICO-3L
15D91B15,X11SCL-LN4F
15D91B14,C9X299-PG300F
15D91B13,AOC-4UR66-i4XTF
15D91B12,AOC-SGP-i4
15D91B11,X11SCH-LN4F
15D91B10,A2SDV-LN8F/LN10PF
15D91B0F,X11SCM-2F/X11SCM-LN8F
15D91B0E,X11SCL-IF
15D91B0D,X11SCV-Q/L
15D91B0C,AOC-B25G-6X4D
15D91B0B,AOC-STG-b2T
15D91B0A,B10DRT-IBF2 for onboard IB ID use
15D91B09,X11SCZ-F
15D91B08,C9X299-PG300
15D91B07,X11SCW-F
15D91B06,X11SCQ-L
15D91B05,X11SCQ
15D91B04,X11DPT-LC019
15D91B03,AOC-2UR688-i4XTF-IB001
15D91B02,X11DGO-T
15D91B01,X11DSN-TS
15D91A1F,X11SCL-F
15D91A1E,X11DAC
15D91A1D,X11SCA-F/W
15D91A1C,X11DSF
15D91A1B,X11SCE-F
15D91A1A,A2SD1-3750F/3955F
15D91A07,B11SPE-CPU-TF/25G
15D91A09,AOC-URN4-b2XT
15D91A08,AOC-STG-b2T
15D91A06,X11DPG-OT-CPU
15D91A05,AOM-M25G-i2S
15D91A04,B10KNM
15D91A03,H11SSL-i/c/nc
15D91A02,C7C242-CB-M
15D91A01,C7B360-CB-M
15D9099F,C7Z390-CG-IW
15D9099E,C7Z390-PGW
15D9099D,X11DSC+
15D9099C,SAS 3616
15D9099B,AOC-OPH-WFR
15D9099A,X11DPS-R
15D90999,AOC-MHIBE-m1CG
15D90998,C7Z370-CG-iW
15D90997,B11DPE
15D90996,AOC-MTG-b2T
15D90995,X11DPG-SN
15D90994,AOC-B25G-M2S
15D90993,AOC-URN4-i2TS
15D90992,B11SPi-CPU-TF
15D90991,C7Z370-CG-L
15D9098F,B11QPi
15D9098E,X11SRA-R/F
15D9098D,A2SAP-H/E/L
15D9098C,X11DPX-T
15D9098B,X11SSN
15D9098A,H11DST-B
15D90989,B10DRE
15D90988,X11DGQ
15D90987,X11SDV-TLN2F
15D90986,X11SDV-16/12C/BC-TP8F
15D90985,P9DSU-C
15D90984,X11SRM-(V)F
15D90983,AOC-M25G-m4S
15D90982,A2SDV-TLN5F
15D90981,X11DPH-i/Tq
15D90980,X11OPi
15D9097F,X11QPH+
15D9097E,X11SPG-F
15D9097D,C7B250-CB-i
15D9097C,AOC-IBH-X4ES
15D9097B,C7X299-PG/C7X299-PGF/C7X299-RPGF
15D9097A,X11DAI-N
15D90979,BMB-IBD-E3616
15D90978,AOC-S25G-i2S
15D90977,X11DPFR-SN
15D90976,SAS 3324
15D90975,SAS 3316
15D90974,SAS 3516
15D90973,SAS 3508
15D90972,SAS 3216
15D90971,X11SRE-EXP-SI030
15D90970,C7Z270-CG-M
15D9096F,AOC-IBH-X4ED
15D9096E,X11SPL-F
15D9096D,X11DPG-Qt
15D9096C,X11DPU-Z+
15D9096B,X11DPT-P-SG007
15D9096A,C7C232-CB-ML
15D90969,A2SDi-HLN4F
15D90968,X11DPL-i
15D90967,X11DDW
15D90966,B11DPT
